18 17
lava 2 1
lava 3 1
lava 4 1
lava 5 1
lava 6 1
lava 7 1
lava 8 1
lava 9 1
lava 10 1
lava 11 1
lava 12 1
lava 13 1
lava 14 1
lava 2 2
lava 2 3
lava 2 4
lava 2 5
lava 2 6
lava 2 7
lava 2 8
lava 2 9
lava 2 10
lava 2 11
lava 2 12
lava 2 13
lava 2 14
lava 2 15
lava 2 16
lava 3 16
lava 4 16
lava 5 16
lava 6 16
lava 7 16
lava 8 16
lava 9 16
lava 10 16
lava 11 16
lava 12 16
lava 13 16
lava 14 16
lava 14 2
lava 14 3
lava 14 4
lava 14 5
lava 14 6
lava 14 7
lava 14 8
lava 14 9
lava 14 10
lava 14 11
lava 14 12
lava 14 13
lava 14 14
lava 14 15
water 4 3
water 5 3
water 6 3
water 7 3
water 8 3
water 9 3
water 10 3
water 11 3
water 12 3
water 4 4
water 4 5
water 4 6
water 4 7
water 4 8
water 4 9
water 4 10
water 4 11
water 4 12
water 4 13
water 4 14
water 5 14
water 6 14
water 7 14
water 8 14
water 9 14
water 10 14
water 11 14
water 12 14
water 12 4
water 12 5
water 12 6
water 12 7
water 12 8
water 12 9
water 12 10
water 12 11
water 12 12
water 12 13
water 12 14
text_baba 7 2
is 8 2
you 9 2
text_water 7 15
is 8 15
stop 9 15
metal 5 4
metal 6 4
metal 7 4
metal 8 4
metal 9 4
metal 10 4
metal 11 4
metal 5 5
metal 6 5
metal 7 5
metal 8 5
metal 9 5
metal 10 5
metal 11 5
metal 5 6
metal 6 6
metal 7 6
metal 8 6
metal 9 6
metal 10 6
metal 11 6
metal 5 7
metal 6 7
metal 7 7
metal 8 7
metal 9 7
metal 10 7
metal 11 7
metal 5 8
metal 6 8
metal 7 8
metal 8 8
metal 9 8
metal 10 8
metal 11 8
metal 5 9
metal 6 9
metal 7 9
metal 8 9
metal 9 9
metal 10 9
metal 11 9
metal 5 10
metal 6 10
metal 7 10
metal 8 10
metal 9 10
metal 10 10
metal 11 10
metal 5 11
metal 6 11
metal 7 11
metal 8 11
metal 9 11
metal 10 11
metal 11 11
metal 5 12
metal 6 12
metal 7 12
metal 8 12
metal 9 12
metal 10 12
metal 11 12
metal 5 13
metal 6 13
metal 7 13
metal 8 13
metal 9 13
metal 10 13
metal 11 13
game 7 6
is 8 6
play 9 7
exit 9 5
baba 9 9
start 7 12
from 8 12
zero 9 12
save 9 11
